t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1743439084,117390,11.361176,3.927762,1.360462,1.300906,3.749304,4.586755,6.289941,7.284364,8.008814,10.253201,3874.539513,2721.790699,2087.786252,1961.707717,calls/second,milliseconds
1743439085,119970,10.303681,3.879127,1.150272,1.307590,3.672306,4.556981,6.449088,7.329783,7.787411,9.330344,3833.036114,2721.790699,2087.786252,1961.707717,calls/second,milliseconds
1743439086,126789,8.656426,1.465650,0.869048,0.495458,1.375186,1.504711,1.918983,3.009364,4.162033,6.244212,3925.253763,2721.790699,2087.786252,1961.707717,calls/second,milliseconds
1743439087,132013,9.685017,1.909349,0.993605,0.896276,1.552472,2.067396,3.794443,4.586505,5.214421,7.113717,3964.081716,2721.790699,2087.786252,1961.707717,calls/second,milliseconds
1743439088,134772,9.118100,3.629781,1.219661,1.225673,3.417466,4.291810,6.007265,6.691684,7.378158,8.941557,3928.574686,2721.790699,2087.786252,1961.707717,calls/second,milliseconds
1743439089,137223,17.371516,4.076984,1.290376,1.429467,3.911263,4.879365,6.731423,7.682907,8.323523,9.852392,3886.592774,2821.592004,2118.896509,1972.833962,calls/second,milliseconds
1743439090,139703,11.267990,4.032798,1.191544,1.337131,3.898121,4.731295,6.509547,7.327479,8.059541,10.677888,3847.724111,2821.592004,2118.896509,1972.833962,calls/second,milliseconds
1743439091,142111,10.997579,4.169455,1.397739,1.348697,3.943516,4.830760,6.776882,7.842698,8.450359,10.600879,3808.730844,2821.592004,2118.896509,1972.833962,calls/second,milliseconds
1743439092,144617,10.300629,3.982567,1.245876,1.206666,3.818717,4.603089,6.316213,6.964603,7.686764,9.566011,3774.618149,2821.592004,2118.896509,1972.833962,calls/second,milliseconds
1743439093,147101,10.528299,4.021244,1.188858,1.251145,3.874560,4.688205,6.378598,7.304526,7.967245,9.571179,3741.682054,2821.592004,2118.896509,1972.833962,calls/second,milliseconds
1743439094,151319,10.425544,2.365363,0.995219,1.434101,1.560520,3.270024,5.290890,6.234582,6.810689,8.462178,3753.363523,2799.924680,2126.031940,1976.034873,calls/second,milliseconds
1743439095,158367,138.832320,1.428140,0.890159,2.245470,1.332755,1.451998,1.722123,2.112655,2.538902,9.110323,3832.573806,2799.924680,2126.031940,1976.034873,calls/second,milliseconds
1743439096,165322,87.156009,1.436144,0.888348,1.359511,1.369000,1.490048,1.785590,2.305445,2.726369,3.304319,3906.182092,2799.924680,2126.031940,1976.034873,calls/second,milliseconds
1743439097,169917,53.564658,2.145084,0.936807,4.492065,1.498692,1.827614,2.813033,3.712562,25.002532,53.286513,3921.517543,2799.924680,2126.031940,1976.034873,calls/second,milliseconds
1743439098,170619,117.653323,14.341184,0.932422,22.299357,1.846041,23.564556,56.508852,80.321403,95.683532,117.653323,3848.808868,2799.924680,2126.031940,1976.034873,calls/second,milliseconds
1743439099,171359,158.500263,13.703023,1.064584,25.250580,3.507103,6.464066,66.925445,97.053647,123.096808,158.500263,3780.121358,2924.261638,2162.873541,1989.214702,calls/second,milliseconds
1743439100,174365,21.344189,3.332801,1.053798,1.671938,3.187536,4.385457,6.202589,7.254714,8.132598,11.140878,3763.284774,2924.261638,2162.873541,1989.214702,calls/second,milliseconds
1743439101,177454,12.228477,3.232855,1.023816,1.691754,2.994691,4.282375,6.345881,7.205893,8.185967,10.547433,3748.934408,2924.261638,2162.873541,1989.214702,calls/second,milliseconds
1743439102,180094,17.854623,3.787271,0.975416,1.752390,3.683636,4.664146,6.582574,7.659372,8.442596,17.721948,3725.898926,2924.261638,2162.873541,1989.214702,calls/second,milliseconds
1743439103,182833,16.772888,3.654991,0.939518,2.230933,3.471099,4.747895,7.254165,9.906133,12.087623,16.474523,3705.798311,2924.261638,2162.873541,1989.214702,calls/second,milliseconds
1743439104,185977,12.312477,3.181678,1.055483,1.665285,3.031604,4.147020,6.085242,7.119346,8.286565,11.367433,3694.579717,2911.671700,2172.855567,1993.522643,calls/second,milliseconds
1743439105,189694,119.617608,2.707133,0.879723,7.914980,1.447314,1.800074,4.954471,6.307114,11.606430,119.080126,3694.709911,2911.671700,2172.855567,1993.522643,calls/second,milliseconds
1743439106,193661,68.402254,2.518070,0.944471,4.154769,1.460984,3.086584,5.419967,6.531732,7.492777,68.200979,3699.824047,2911.671700,2172.855567,1993.522643,calls/second,milliseconds
1743439107,196404,16.946782,3.652916,1.084967,1.665176,3.568344,4.767866,6.468017,7.336437,8.036383,11.787150,3681.810278,2911.671700,2172.855567,1993.522643,calls/second,milliseconds
1743439108,199283,12.987586,3.469893,1.120898,1.636895,3.368538,4.464598,6.424807,7.528203,8.202727,10.722799,3666.952815,2911.671700,2172.855567,1993.522643,calls/second,milliseconds
1743439109,201740,12.560580,4.096713,1.251569,1.509602,3.892271,4.904220,6.970402,7.969998,8.552233,10.421563,3644.715050,2937.107835,2190.325322,2000.371807,calls/second,milliseconds
1743439110,205001,10.709791,3.064105,1.020572,1.649490,2.914950,4.039351,6.210413,7.229530,7.856824,10.257908,3637.804017,2937.107835,2190.325322,2000.371807,calls/second,milliseconds
1743439111,207677,11.278656,3.731240,1.049761,1.578877,3.685917,4.669473,6.383325,7.463981,8.416432,10.048267,3620.977457,2937.107835,2190.325322,2000.371807,calls/second,milliseconds
1743439112,210713,11.430015,3.298844,1.059828,1.616931,3.331997,4.379351,6.225957,7.055496,7.543475,9.102990,3610.773490,2937.107835,2190.325322,2000.371807,calls/second,milliseconds
1743439113,213922,14.842656,3.127480,1.017471,1.862867,2.784331,4.146085,6.642482,7.893510,9.194514,13.287365,3603.750920,2937.107835,2190.325322,2000.371807,calls/second,milliseconds
1743439114,221226,7.241612,1.371205,0.766096,0.216694,1.344451,1.449562,1.658257,1.789946,1.984142,3.018226,3664.788156,2983.857239,2212.332663,2008.800751,calls/second,milliseconds
1743439116,229804,4.521569,1.490719,0.963249,0.317585,1.406264,1.604243,2.080621,2.326519,2.605904,3.947620,3730.083390,2983.857239,2212.332663,2008.800751,calls/second,milliseconds
1743439117,238299,8.293387,1.612218,0.906227,0.472642,1.495049,1.720289,2.425909,2.907885,3.353567,6.406897,3786.317809,2983.857239,2212.332663,2008.800751,calls/second,milliseconds
1743439118,244879,13.410060,1.520592,0.971410,0.451196,1.429022,1.593172,2.164339,2.686716,3.050579,6.716653,3829.777778,2983.857239,2212.332663,2008.800751,calls/second,milliseconds
1743439119,250539,11.240560,1.761748,0.999090,0.842099,1.512840,1.797742,3.528029,4.754290,5.593805,9.012230,3857.867595,2983.857239,2212.332663,2008.800751,calls/second,milliseconds
1743439120,254045,10.728914,2.853958,1.023956,1.660573,2.052387,3.896968,6.139832,6.962354,7.742054,10.510610,3852.496191,3258.628027,2281.885898,2033.241681,calls/second,milliseconds
1743439121,256939,12.611935,3.489104,0.924729,1.677725,3.393690,4.576583,6.481648,7.487539,7.888898,10.225852,3837.894076,3258.628027,2281.885898,2033.241681,calls/second,milliseconds
1743439122,259499,12.400384,3.903502,0.931733,1.733021,3.861211,4.933332,6.863555,8.042370,9.269563,11.344499,3819.037261,3258.628027,2281.885898,2033.241681,calls/second,milliseconds
1743439123,262192,13.975418,3.715926,1.087761,1.842642,3.525881,4.751344,7.091763,8.539623,9.411017,12.880926,3802.623161,3258.628027,2281.885898,2033.241681,calls/second,milliseconds
1743439124,264948,13.682809,3.658420,1.063775,2.009160,3.498814,4.940651,7.223439,8.397250,9.636539,12.816327,3787.345970,3258.628027,2281.885898,2033.241681,calls/second,milliseconds
1743439125,267629,11.634927,3.746000,1.033044,1.676772,3.685749,4.743841,6.785648,7.765272,8.328937,11.227346,3771.595107,3230.753269,2292.267711,2038.099055,calls/second,milliseconds
1743439126,270301,11.493733,3.750629,1.038926,1.498850,3.710762,4.528517,6.383026,7.466915,8.316655,9.778187,3756.100358,3230.753269,2292.267711,2038.099055,calls/second,milliseconds
1743439127,273446,16.247624,3.181556,0.952227,2.019816,2.602336,4.518471,6.934547,8.160490,9.106576,13.035333,3747.680393,3230.753269,2292.267711,2038.099055,calls/second,milliseconds
1743439128,276426,12.222948,3.358485,1.024947,1.712551,3.339051,4.474871,6.397380,7.414802,8.110413,10.008422,3737.214527,3230.753269,2292.267711,2038.099055,calls/second,milliseconds
1743439129,278695,16.400038,4.434778,1.869084,1.447649,4.169521,5.189019,7.117979,8.101984,8.894149,11.908877,3717.381523,3230.753269,2292.267711,2038.099055,calls/second,milliseconds
1743439130,281491,12.906427,3.585278,1.017235,1.632779,3.480910,4.534398,6.636724,7.693823,8.461186,10.318181,3705.019081,3189.116137,2299.172219,2041.821489,calls/second,milliseconds
1743439131,284336,10.590122,3.516909,0.987165,1.499534,3.478350,4.353163,6.280029,7.076313,7.720779,9.948134,3693.795481,3189.116137,2299.172219,2041.821489,calls/second,milliseconds
1743439132,290672,10.074266,1.578860,0.987697,0.836570,1.364609,1.505854,3.243464,4.805747,5.817288,8.724688,3727.541888,3189.116137,2299.172219,2041.821489,calls/second,milliseconds
1743439133,298169,3.551783,1.331709,0.811246,0.192222,1.310586,1.419246,1.615621,1.725029,1.873436,2.969958,3775.178765,3189.116137,2299.172219,2041.821489,calls/second,milliseconds
1743439134,305273,3.258301,1.405709,0.994308,0.210016,1.375475,1.491176,1.748030,1.933198,2.126972,3.063503,3816.736467,3189.116137,2299.172219,2041.821489,calls/second,milliseconds
1743439135,312646,3.135093,1.354142,0.945459,0.175839,1.332211,1.434274,1.618296,1.753205,1.893350,2.888100,3860.574211,3359.971937,2349.201281,2060.016337,calls/second,milliseconds
1743439136,319841,12.395842,1.389093,0.917997,0.260384,1.349559,1.464037,1.753398,1.945889,2.119487,2.947243,3901.134775,3359.971937,2349.201281,2060.016337,calls/second,milliseconds
1743439137,325655,17.320496,1.722966,0.994913,0.906162,1.533550,1.783866,2.770217,4.191250,5.192293,17.075394,3923.953519,3359.971937,2349.201281,2060.016337,calls/second,milliseconds
1743439138,330981,10.123396,1.880102,1.001788,0.562718,1.775686,2.041185,2.748667,3.337172,3.949914,7.174094,3940.484378,3359.971937,2349.201281,2060.016337,calls/second,milliseconds
1743439139,336181,11.821841,1.930867,1.023725,1.033780,1.610299,1.935822,4.160631,5.552964,6.567005,9.269077,3954.999333,3583.434051,2412.102296,2082.702061,calls/second,milliseconds
1743439140,340220,10.825739,2.482607,0.919604,1.383739,1.817516,3.248587,5.298039,6.135698,6.776820,9.109236,3955.766984,3583.434051,2412.102296,2082.702061,calls/second,milliseconds
1743439141,343222,10.166667,3.344460,1.041667,1.736048,3.392172,4.454261,6.503862,7.359618,8.006651,9.443727,3944.646838,3583.434051,2412.102296,2082.702061,calls/second,milliseconds
1743439142,345575,10.637865,4.257643,1.520763,1.260404,4.093455,4.923410,6.647235,7.631604,8.104560,10.396599,3926.426950,3583.434051,2412.102296,2082.702061,calls/second,milliseconds
1743439143,347964,12.627186,4.199438,1.581103,1.179361,4.047000,4.798822,6.389222,7.036951,7.836427,9.888743,3908.989253,3583.434051,2412.102296,2082.702061,calls/second,milliseconds
1743439144,350345,9.964817,4.214206,1.540351,1.194330,4.009380,4.868924,6.443502,7.197313,7.817652,9.652962,3891.823907,3522.649092,2418.897143,2086.804532,calls/second,milliseconds
1743439145,352764,12.147651,4.139316,1.615419,1.251023,3.932347,4.802349,6.478973,7.368809,7.995448,11.225916,3875.447094,3522.649092,2418.897143,2086.804532,calls/second,milliseconds
1743439146,355229,11.031785,4.062164,1.356623,1.158793,3.864825,4.672379,6.305069,7.192873,7.754261,9.928892,3859.972915,3522.649092,2418.897143,2086.804532,calls/second,milliseconds
1743439147,357443,12.929836,4.536278,1.461111,1.454474,4.237144,5.276977,7.374993,8.363068,9.032185,10.802631,3842.094476,3522.649092,2418.897143,2086.804532,calls/second,milliseconds
1743439148,359848,10.031933,4.155541,1.643912,1.175906,4.008728,4.795120,6.336442,7.075983,7.548967,9.751314,3826.761532,3522.649092,2418.897143,2086.804532,calls/second,milliseconds
