t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1743442654,13702581,411.046591,3.214955,1.016216,19.507731,1.466513,2.887458,4.747238,5.702054,6.099609,411.046591,3805.805716,4111.279120,3889.422344,3717.244443,calls/second,milliseconds
1743446255,16371986,98.749927,4.843248,0.982907,5.435721,3.053027,5.731356,12.192722,16.093795,20.175301,98.749927,4547.666404,4161.763407,4406.942052,4438.426453,calls/second,milliseconds
1743449856,17585304,609.448482,55.828889,1.253857,147.867289,4.126618,11.064568,499.347544,510.255489,521.414865,609.448482,4883.306176,1126.664021,3467.060759,4447.193986,calls/second,milliseconds
