t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1743431853,2519838,116.440709,12.900795,6.489951,4.587307,12.721063,14.102310,16.542685,18.078790,20.020224,109.967268,699.942913,701.614193,696.711423,691.640127,calls/second,milliseconds
1743435453,3049885,422.203651,23.295132,7.485866,29.500581,19.378138,21.102289,25.440398,89.105058,134.265892,407.358994,847.177008,844.461990,820.672669,823.197206,calls/second,milliseconds
1743439053,2977698,6007.872376,47.282569,11.685098,235.013797,25.002814,27.532398,109.350923,230.741256,311.080481,6007.872376,827.114635,622.529350,652.685951,729.174089,calls/second,milliseconds
1743442654,834857,6992.013021,50.566018,10.838412,307.805056,24.442293,27.563787,35.092755,154.520286,324.884903,6992.013021,231.874873,184.753956,155.481967,178.953701,calls/second,milliseconds
1743446255,1194727,8645.346171,100.835822,11.259238,608.503975,34.473200,41.439340,187.890103,298.628272,482.783229,8645.346171,331.855694,270.104736,335.861427,350.392829,calls/second,milliseconds
1743449856,695994,12196.188477,419.252318,19.810578,640.292242,494.701539,513.703572,1004.084473,1019.912384,1021.514970,12170.502937,193.271854,91.555118,174.158179,198.878273,calls/second,milliseconds
