t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1743428285,20615,27.173254,12.765993,5.854593,2.392248,12.671223,13.952126,16.209186,17.908250,21.752304,27.173254,645.870889,568.615913,535.913493,529.023286,calls/second,milliseconds
1743428286,21416,20.230487,12.502221,6.360361,2.278581,12.588733,14.051875,15.974676,17.348486,18.255569,20.230487,650.562386,568.615913,535.913493,529.023286,calls/second,milliseconds
1743428287,22211,20.004209,12.567352,6.422062,2.247899,12.822396,14.063328,15.955980,16.679826,17.233021,20.004209,654.796705,568.615913,535.913493,529.023286,calls/second,milliseconds
1743428288,22993,19.399001,12.841076,7.157284,2.188477,12.912859,14.324144,16.458696,17.372645,17.856878,19.399001,658.375448,568.615913,535.913493,529.023286,calls/second,milliseconds
1743428289,23802,19.191621,12.419685,5.919033,2.177966,12.368116,13.851895,16.142959,17.155030,17.838564,19.191621,662.545040,586.748567,540.202428,530.499053,calls/second,milliseconds
1743428290,24610,21.718017,12.309057,6.454802,2.224477,12.370349,13.674520,15.746614,17.355822,18.513152,21.718017,666.467108,586.748567,540.202428,530.499053,calls/second,milliseconds
1743428291,25403,18.976462,12.693982,6.583891,2.177647,12.781053,14.155518,16.191743,17.189180,17.476875,18.976462,669.787128,586.748567,540.202428,530.499053,calls/second,milliseconds
1743428292,26210,19.313640,12.354226,6.138657,2.168208,12.379484,13.880694,15.887003,17.339991,17.797162,19.313640,673.239068,586.748567,540.202428,530.499053,calls/second,milliseconds
1743428293,27042,18.201120,12.076305,5.932038,2.241330,12.098034,13.634115,15.772050,16.651760,17.862068,18.201120,677.180639,586.748567,540.202428,530.499053,calls/second,milliseconds
1743428294,27850,20.650976,12.330058,6.723179,2.491730,12.300314,13.745781,16.881028,18.307164,19.027260,20.650976,680.354577,604.502820,544.641955,532.040883,calls/second,milliseconds
1743428295,28659,19.976286,12.413068,6.214962,2.200508,12.413445,13.926091,15.941248,16.856317,17.247553,19.976286,683.403128,604.502820,544.641955,532.040883,calls/second,milliseconds
1743428296,29460,28.829701,12.500204,6.126998,2.736634,12.315473,14.069042,16.485586,18.165186,22.524348,28.829701,686.121031,604.502820,544.641955,532.040883,calls/second,milliseconds
1743428297,30086,218.727502,15.970470,6.046149,25.803845,12.371043,13.893673,18.150288,42.974461,214.755277,218.727502,684.735674,604.502820,544.641955,532.040883,calls/second,milliseconds
1743428298,30889,18.626625,12.501363,6.395227,2.167896,12.492736,14.021123,16.061256,16.830032,17.554956,18.626625,687.341651,604.502820,544.641955,532.040883,calls/second,milliseconds
1743428299,31715,20.073035,12.062121,5.563486,2.176218,11.959800,13.577409,15.904621,16.753962,17.893155,20.073035,690.340565,617.559341,548.330433,533.347024,calls/second,milliseconds
1743428300,32539,20.561291,12.126499,5.300693,2.291052,12.107114,13.730681,15.990136,16.998875,18.122918,20.561291,693.173122,617.559341,548.330433,533.347024,calls/second,milliseconds
1743428301,33354,20.621122,12.316534,6.403895,1.935682,12.232389,13.678430,15.518228,16.095674,17.101163,20.621122,695.701414,617.559341,548.330433,533.347024,calls/second,milliseconds
1743428302,34129,20.075452,12.894389,5.962303,2.282553,12.899694,14.355533,16.727765,17.826233,19.071084,20.075452,697.307933,617.559341,548.330433,533.347024,calls/second,milliseconds
1743428303,34936,26.267706,12.385595,5.199755,2.284159,12.380317,13.679033,15.758421,17.145552,18.697734,26.267706,699.490228,617.559341,548.330433,533.347024,calls/second,milliseconds
1743428304,35750,19.782226,12.237697,6.889513,2.134980,12.291656,13.507142,16.021357,17.196208,18.099993,19.782226,701.725344,632.834109,552.632311,534.871967,calls/second,milliseconds
1743428305,35884,773.379479,72.779927,7.788601,200.499357,13.385153,16.362235,770.291405,772.571256,773.365288,773.379479,690.679182,632.834109,552.632311,534.871967,calls/second,milliseconds
1743428306,36476,525.920547,21.207357,5.322181,59.151513,12.773657,14.111782,18.325333,264.462918,524.882497,525.920547,686.532444,632.834109,552.632311,534.871967,calls/second,milliseconds
1743428307,37281,21.774841,12.425574,5.718335,2.468447,12.458012,14.051554,16.774945,17.814420,19.206264,21.774841,688.703936,632.834109,552.632311,534.871967,calls/second,milliseconds
1743428308,38074,26.303370,12.586217,6.545947,2.623561,12.546986,13.963811,16.534000,18.462031,21.050036,26.303370,690.577792,630.016945,553.375561,535.219490,calls/second,milliseconds
1743428309,38867,22.569372,12.632034,6.091506,2.344930,12.774624,13.993146,16.637369,17.271181,18.776197,22.569372,692.392168,630.016945,553.375561,535.219490,calls/second,milliseconds
1743428310,39678,20.512419,12.443027,6.381481,2.157345,12.399146,13.784962,15.996494,17.206953,18.054530,20.512419,694.368865,630.016945,553.375561,535.219490,calls/second,milliseconds
1743428311,40124,452.646679,22.663118,5.514558,60.806995,12.535221,14.078206,34.021024,306.387136,448.937275,452.646679,690.030810,630.016945,553.375561,535.219490,calls/second,milliseconds
1743428312,40931,20.424761,12.431834,5.794932,2.235339,12.434236,13.889841,15.987877,17.563073,18.160443,20.424761,691.962723,630.016945,553.375561,535.219490,calls/second,milliseconds
1743428313,41720,20.993455,12.740316,6.072969,2.570445,12.623323,14.346117,17.336681,18.464695,19.107237,20.993455,693.513774,637.739300,556.238709,536.279767,calls/second,milliseconds
1743428314,42505,27.040766,12.796774,5.974108,2.789072,12.665789,13.971201,17.524716,20.961276,23.102113,27.040766,695.000277,637.739300,556.238709,536.279767,calls/second,milliseconds
1743428315,43307,23.988964,12.426369,6.154820,2.377108,12.301124,13.800866,16.127292,18.904211,20.331850,23.988964,696.704594,637.739300,556.238709,536.279767,calls/second,milliseconds
1743428316,44132,22.972963,12.100205,5.442763,2.312794,12.117734,13.583835,15.677047,17.252801,18.910308,22.972963,698.722692,637.739300,556.238709,536.279767,calls/second,milliseconds
1743428317,44960,22.014375,12.137337,6.000035,2.491656,12.005500,13.584069,16.205412,18.001864,19.507580,22.014375,700.726239,637.739300,556.238709,536.279767,calls/second,milliseconds
