t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1743018623,54545,2.762385,0.854904,0.552545,0.102975,0.850169,0.916582,1.021645,1.072211,1.123058,1.522244,10776.265355,10767.800000,10767.800000,10767.800000,calls/second,milliseconds
1743018624,65953,6.506081,0.873998,0.542305,0.218432,0.848149,0.920500,1.081547,1.264149,1.491938,3.984796,10870.275463,10767.800000,10767.800000,10767.800000,calls/second,milliseconds
1743018625,77582,3.788690,0.856519,0.538662,0.142793,0.843554,0.908203,1.022690,1.117085,1.273996,2.440038,10972.392004,10767.800000,10767.800000,10767.800000,calls/second,milliseconds
1743018626,89061,2.295621,0.869515,0.562010,0.113626,0.861209,0.930185,1.045732,1.111518,1.178542,1.814275,11028.699950,10767.800000,10767.800000,10767.800000,calls/second,milliseconds
1743018627,100754,3.487009,0.852148,0.529230,0.122805,0.846980,0.911207,1.016177,1.068624,1.118181,1.908299,11097.884735,10767.800000,10767.800000,10767.800000,calls/second,milliseconds
1743018628,112415,3.762692,0.854222,0.573363,0.123203,0.848225,0.913673,1.017970,1.066745,1.105277,1.980433,11150.550539,10828.214440,10780.288969,10771.986139,calls/second,milliseconds
1743018629,124001,2.160838,0.860554,0.544639,0.100654,0.855495,0.922116,1.025017,1.073139,1.114701,1.433232,11186.430740,10828.214440,10780.288969,10771.986139,calls/second,milliseconds
1743018630,135537,3.788810,0.863484,0.542434,0.124975,0.856216,0.923941,1.025274,1.077924,1.128822,1.923465,11212.753171,10828.214440,10780.288969,10771.986139,calls/second,milliseconds
1743018631,147053,3.920408,0.864829,0.555384,0.126189,0.859309,0.925896,1.028420,1.074911,1.117696,1.666942,11233.866795,10828.214440,10780.288969,10771.986139,calls/second,milliseconds
1743018632,158590,2.368340,0.865907,0.581631,0.100949,0.862064,0.923421,1.014875,1.062530,1.102600,1.760230,11250.913649,10828.214440,10780.288969,10771.986139,calls/second,milliseconds
1743018633,170085,3.789593,0.868423,0.535281,0.116871,0.864367,0.926073,1.018281,1.065003,1.096658,1.349109,11263.543509,10881.527670,10792.102104,10775.991746,calls/second,milliseconds
1743018634,181299,4.408878,0.887810,0.579289,0.182097,0.863026,0.934213,1.092840,1.305100,1.530152,3.083900,11258.966005,10881.527670,10792.102104,10775.991746,calls/second,milliseconds
1743018635,192709,8.000888,0.876286,0.577422,0.147372,0.864520,0.932032,1.045545,1.131709,1.283642,2.311046,11263.692850,10881.527670,10792.102104,10775.991746,calls/second,milliseconds
1743018636,203987,8.189127,0.886463,0.556263,0.163445,0.872285,0.946357,1.078261,1.176517,1.247295,3.050839,11260.641417,10881.527670,10792.102104,10775.991746,calls/second,milliseconds
1743018637,215571,6.939461,0.861315,0.547135,0.145610,0.855034,0.920205,1.023771,1.080973,1.127978,3.176793,11275.034799,10881.527670,10792.102104,10775.991746,calls/second,milliseconds
1743018638,227229,4.975367,0.855207,0.533721,0.113577,0.849233,0.916556,1.021672,1.075208,1.125591,1.812206,11292.344997,10920.887592,10801.716724,10779.303694,calls/second,milliseconds
1743018639,238923,4.280899,0.853253,0.534448,0.135298,0.846740,0.908912,1.007263,1.058283,1.104852,2.253868,11308.947966,10920.887592,10801.716724,10779.303694,calls/second,milliseconds
1743018640,250625,5.376768,0.853096,0.586847,0.153851,0.846771,0.908475,1.002172,1.047873,1.083844,1.279747,11324.491636,10920.887592,10801.716724,10779.303694,calls/second,milliseconds
1743018641,262246,3.304431,0.857844,0.557748,0.111740,0.853547,0.914598,1.007063,1.060087,1.106627,1.413661,11335.829241,10920.887592,10801.716724,10779.303694,calls/second,milliseconds
1743018642,273918,2.834986,0.856138,0.558215,0.100929,0.851553,0.913943,1.006034,1.046710,1.077395,1.281322,11347.023293,10920.887592,10801.716724,10779.303694,calls/second,milliseconds
1743018643,285380,3.255571,0.868774,0.568197,0.138785,0.855078,0.922110,1.042206,1.172951,1.343796,2.570035,11350.646196,10973.539337,10814.570698,10783.736349,calls/second,milliseconds
1743018644,296791,5.756115,0.873451,0.530209,0.200458,0.847730,0.917468,1.079301,1.304202,1.683736,3.067837,11351.714647,10973.539337,10814.570698,10783.736349,calls/second,milliseconds
1743018645,308445,2.288992,0.856839,0.545998,0.123531,0.846877,0.910301,1.020089,1.106101,1.338647,1.946742,11360.658991,10973.539337,10814.570698,10783.736349,calls/second,milliseconds
1743018646,320078,3.136777,0.855713,0.522807,0.117135,0.848449,0.915676,1.021940,1.082181,1.124155,2.079458,11369.601290,10973.539337,10814.570698,10783.736349,calls/second,milliseconds
1743018647,331741,6.200799,0.854357,0.538271,0.112223,0.848548,0.915947,1.019270,1.068306,1.110600,1.303685,11378.549436,10973.539337,10814.570698,10783.736349,calls/second,milliseconds
1743018648,343393,6.380007,0.854786,0.565057,0.184876,0.843540,0.910341,1.017363,1.076908,1.138834,2.210630,11386.655006,11021.085779,10827.027095,10788.082397,calls/second,milliseconds
1743018649,355129,9.014820,0.847529,0.568564,0.139865,0.839418,0.904789,1.006081,1.066118,1.125308,2.051398,11397.216129,11021.085779,10827.027095,10788.082397,calls/second,milliseconds
1743018650,366524,5.245281,0.874478,0.558528,0.158163,0.850710,0.923911,1.142568,1.336465,1.483314,1.972059,11396.011021,11021.085779,10827.027095,10788.082397,calls/second,milliseconds
1743018651,378244,2.319882,0.853868,0.505183,0.103441,0.849386,0.915962,1.017135,1.063316,1.102762,1.454247,11403.283793,11021.085779,10827.027095,10788.082397,calls/second,milliseconds
1743018652,389988,2.052845,0.848405,0.524188,0.100780,0.843148,0.909676,1.011032,1.055457,1.096865,1.515383,11412.324897,11021.085779,10827.027095,10788.082397,calls/second,milliseconds
1743018653,401546,3.105745,0.861287,0.529805,0.140590,0.848321,0.918214,1.037452,1.125438,1.283157,2.392662,11415.493069,11067.709018,10839.872633,10792.603813,calls/second,milliseconds
1743018654,413028,9.926869,0.868845,0.571093,0.182697,0.850041,0.919683,1.068556,1.224988,1.354464,2.840104,11415.654715,11067.709018,10839.872633,10792.603813,calls/second,milliseconds
