t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1743022306,38289941,7.739004,0.996385,0.610232,0.326011,0.966018,1.057055,1.244770,1.351995,1.430843,7.739004,10635.924008,10028.807718,10140.801851,10413.154886,calls/second,milliseconds
1743025906,41480494,3.807880,1.725632,1.051100,0.268459,1.685961,1.826876,2.109729,2.357519,2.897586,3.558074,11522.222397,11641.968539,11580.656076,11601.364022,calls/second,milliseconds
1743029506,43427518,5.315976,2.452922,1.793515,0.280697,2.417741,2.599353,2.889566,3.147463,3.437299,4.012463,12063.146943,12205.378073,12146.758597,12126.219617,calls/second,milliseconds
